All,সব,module,Magento_AdminNotification
None,না,module,Magento_AdminNotification
Allowed Scopes,মঞ্জুরিপ্রাপ্ত সুযোগগুলি,module,Magento_AdminNotification
You need more permissions to delete this item(s): %1.,% 1: আপনি আরও অনুমতির এই আইটেম (গুলি) মোছার প্রয়োজন হবে।,module,Magento_AdminNotification
You need more permissions to apply some of the rule updates.,আপনি আরও অনুমতির প্রয়োজন নিয়ম আপডেটের কিছু প্রযোজ্য হবে।,module,Magento_AdminNotification
Please assign this entity to a store view.,একটি দোকান দেখতে এই সত্তা ধার্য করুন।,module,Magento_AdminNotification
You can create orders only in an active store.,আপনি শুধুমাত্র একটি সক্রিয় দোকান আদেশ তৈরি করতে পারেন।,module,Magento_AdminNotification
Please assign this item to a store view.,একটি দোকান দৃশ্যে এই আইটেমটি ধার্য করুন।,module,Magento_AdminNotification
You need more permissions to save this item.,আপনি আরও অনুমতির প্রয়োজন এই আইটেমটি সংরক্ষণ করুন।,module,Magento_AdminNotification
You need more permissions to delete this item.,আপনি আরও অনুমতির প্রয়োজন এই আইটেমটি মুছে ফেলতে।,module,Magento_AdminNotification
You need more permissions to view this item.,আপনি এই আইটেমটি দেখতে আরও অনুমতির প্রয়োজন।,module,Magento_AdminNotification
Please specify at least one website or one store group.,অন্তত একটি ওয়েবসাইট বা একটি দোকান গ্রুপ উল্লেখ করুন।,module,Magento_AdminNotification
You need more permissions to set All Scopes to a Role.,আপনি একটি ভূমিকা সব সুযোগগুলি সেট করতে আরও অনুমতির প্রয়োজন।,module,Magento_AdminNotification
Incorrect website ID: %1,ভুল ওয়েবসাইট আইডি:% 1,module,Magento_AdminNotification
"You need more permissions to access website ""%1"".","আপনি অ্যাক্সেস ওয়েবসাইট ""% 1"" থেকে আরও অনুমতির প্রয়োজন।",module,Magento_AdminNotification
Incorrect store ID: %1,ভুল দোকান আইডি:% 1,module,Magento_AdminNotification
You need more permissions to save this setting.,আপনি আরও অনুমতির প্রয়োজন হলে এই নির্বাচন সংরক্ষণ করুন।,module,Magento_AdminNotification
Role Scopes,ভূমিকা সুযোগগুলি,module,Magento_AdminNotification
Custom,প্রথা,module,Magento_AdminNotification
Read Details,পড়ুন বিস্তারিত,module,Magento_AdminNotification
Mark as Read,পঠিত হিসেবে চিহ্নিত করুন,module,Magento_AdminNotification
Are you sure?,তুমি কি নিশ্চিত?,module,Magento_AdminNotification
Remove,অপসারণ,module,Magento_AdminNotification
Messages Inbox,বার্তাগুলি ইনবক্স,module,Magento_AdminNotification
You have %1 new system messages,আপনি% 1 টি নতুন সিস্টেম বার্তা আছে,module,Magento_AdminNotification
You have %1 new system message,আপনি% 1 টি নতুন সিস্টেম বার্তা আছে,module,Magento_AdminNotification
Incoming Message,ইনকামিং বার্তা,module,Magento_AdminNotification
close,ঘনিষ্ঠ,module,Magento_AdminNotification
Notifications,বিজ্ঞপ্তিগুলি,module,Magento_AdminNotification
The message has been marked as Read.,বার্তা পঠিত হিসাবে চিহ্নিত করা হয়েছে।,module,Magento_AdminNotification
We couldn't mark the notification as Read because of an error.,আমরা পঠিত হিসাবে একটি ত্রুটির কারণে প্রজ্ঞাপন চিহ্নিত করতে পারেনি।,module,Magento_AdminNotification
Please select messages.,বার্তা নির্বাচন করুন।,module,Magento_AdminNotification
A total of %1 record(s) have been marked as Read.,% 1 রেকর্ড (গুলি) মোট পঠিত হিসাবে চিহ্নিত করা হয়েছে।,module,Magento_AdminNotification
Total of %1 record(s) have been removed.,% 1 রেকর্ড (গুলি) মোট সরানো হয়েছে।,module,Magento_AdminNotification
We couldn't remove the messages because of an error.,আমরা একটি ত্রুটির কারণে বার্তা সরাতে পারিনি।,module,Magento_AdminNotification
The message has been removed.,বার্তা সরানো হয়েছে।,module,Magento_AdminNotification
1 Hour,1 ঘন্টা,module,Magento_AdvancedCheckout
2 Hours,২ ঘন্টা,module,Magento_AdvancedCheckout
6 Hours,6 ঘন্টা,module,Magento_AdvancedCheckout
12 Hours,1 ২ ঘণ্টা,module,Magento_AdvancedCheckout
